RunID,LineID,RunTimestamp,ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
876,6,2024-08-07 02:00:00,797.0,19441.53,90.75,1.0,2.5365,90.74,15.0,0.13,3.25,0.0726,93.36,5,1704.19,0.4692,2.21,169.45,Defect
877,1,2024-08-07 08:00:00,415.0,6134.08,91.52,3.0,4.4654,90.32,20.0,4.74,3.19,0.0526,90.97,9,1814.9,0.2271,5.3,318.22,Defect
878,2,2024-08-07 14:00:00,277.0,10485.21,92.9,3.0,2.3954,84.71,14.0,3.42,5.88,0.0668,96.08,0,4075.83,0.327,6.48,241.69,Defect
879,3,2024-08-07 20:00:00,639.0,8380.72,80.34,3.0,4.2781,91.48,4.0,4.79,3.06,0.0157,83.54,9,2648.13,0.1595,7.22,462.96,Defect
880,4,2024-08-08 02:00:00,831.0,7937.5,99.21,0.0,3.1561,73.37,12.0,4.32,5.79,0.0648,85.22,9,2620.72,0.2737,5.92,479.87,Defect
881,5,2024-08-08 08:00:00,968.0,7112.04,80.89,2.0,1.3634,95.25,21.0,1.7,5.7,0.0382,98.43,2,4866.43,0.4615,4.42,491.91,Defect
882,6,2024-08-08 14:00:00,140.0,14336.2,82.86,5.0,3.115,84.6,19.0,0.56,9.07,0.0332,98.6,5,2786.81,0.4982,2.17,459.58,Defect
883,1,2024-08-08 20:00:00,839.0,16719.83,80.28,5.0,2.7769,92.89,6.0,2.5,4.37,0.0671,88.85,8,4710.63,0.2447,3.23,494.36,Defect
884,2,2024-08-09 02:00:00,803.0,13674.48,91.34,4.0,2.2939,81.85,15.0,0.13,6.49,0.0592,80.96,0,2196.25,0.1616,4.77,382.46,Defect
885,3,2024-08-09 08:00:00,601.0,7204.44,98.65,2.0,1.0383,68.74,6.0,0.75,7.95,0.0649,86.13,5,2602.51,0.2258,9.32,484.22,Defect
886,4,2024-08-09 14:00:00,244.0,17166.86,93.32,5.0,2.3752,81.7,21.0,1.17,6.77,0.0965,84.94,1,2585.13,0.2309,2.82,356.72,Defect
887,5,2024-08-09 20:00:00,300.0,14539.32,96.45,4.0,0.8274,74.84,15.0,3.33,9.63,0.0701,88.29,8,3184.32,0.3578,4.72,423.69,Defect
888,6,2024-08-10 02:00:00,823.0,10822.49,80.27,4.0,0.9445,87.9,12.0,2.55,6.82,0.0641,86.36,1,3336.99,0.2985,7.59,152.76,Defect
889,1,2024-08-10 08:00:00,560.0,15111.95,90.84,3.0,2.3716,79.03,16.0,1.51,9.21,0.0614,96.58,2,1992.5,0.4074,7.35,373.04,Defect
890,2,2024-08-10 14:00:00,831.0,8898.57,89.19,1.0,1.8742,93.44,8.0,2.82,3.96,0.0399,80.06,1,4174.34,0.3805,9.69,472.44,Defect
891,3,2024-08-10 20:00:00,851.0,10177.88,89.98,3.0,4.6649,87.12,11.0,0.63,6.49,0.0839,92.89,3,2986.1,0.2005,2.72,316.02,Defect
892,4,2024-08-11 02:00:00,657.0,18762.29,81.44,0.0,2.1907,87.38,12.0,3.78,6.35,0.0381,93.29,3,1028.17,0.4137,1.15,174.73,Defect
893,5,2024-08-11 08:00:00,646.0,9357.57,93.69,5.0,3.9104,68.69,8.0,3.56,9.92,0.07,93.21,9,3365.36,0.439,3.9,310.76,Defect
894,6,2024-08-11 14:00:00,352.0,12049.82,90.06,4.0,2.8861,99.37,4.0,1.08,3.64,0.0293,90.41,0,4192.24,0.3394,2.35,382.78,No Defect
895,1,2024-08-11 20:00:00,489.0,18352.12,95.3,1.0,3.6684,93.67,6.0,3.03,3.13,0.0148,92.22,7,2001.87,0.4711,5.94,407.92,Defect
896,2,2024-08-12 02:00:00,693.0,15615.82,89.71,5.0,1.6705,91.56,0.0,2.52,6.89,0.013,96.21,4,1151.48,0.4132,9.09,309.48,No Defect
897,3,2024-08-12 08:00:00,982.0,5933.05,82.99,4.0,4.7386,73.21,3.0,0.3,3.79,0.0635,95.68,7,4228.71,0.3382,7.19,186.95,Defect
898,4,2024-08-12 14:00:00,355.0,7209.55,92.97,4.0,2.8854,81.43,3.0,1.39,7.11,0.0328,80.69,5,4905.11,0.4625,2.22,470.68,No Defect
899,5,2024-08-12 20:00:00,808.0,5117.62,83.45,3.0,4.241,65.48,15.0,5.0,9.78,0.0275,80.61,1,1306.25,0.3401,2.04,409.45,Defect
900,6,2024-08-13 02:00:00,914.0,14463.83,97.45,1.0,2.1427,81.54,4.0,0.5,9.57,0.0592,96.78,6,4752.15,0.3085,9.2,208.28,Defect
901,1,2024-08-13 08:00:00,549.0,11715.1,92.26,1.0,0.951,65.84,21.0,2.53,3.85,0.0026,91.49,9,2437.1,0.2425,5.39,424.73,Defect
902,2,2024-08-13 14:00:00,109.0,7014.12,83.14,5.0,3.5317,82.12,3.0,4.25,3.37,0.0246,99.15,8,4765.76,0.4531,9.31,239.15,Defect
903,3,2024-08-13 20:00:00,923.0,19369.01,99.25,4.0,0.5349,85.95,5.0,1.5,6.49,0.0341,88.63,6,3595.36,0.1491,7.63,224.97,Defect
904,4,2024-08-14 02:00:00,897.0,12944.9,90.37,1.0,2.6388,75.61,22.0,1.3,6.69,0.0708,83.53,4,4560.98,0.2894,9.94,445.23,Defect
905,5,2024-08-14 08:00:00,341.0,8628.4,81.46,1.0,1.3676,79.94,2.0,4.45,7.3,0.0545,89.46,3,4143.33,0.315,8.84,449.29,No Defect
906,6,2024-08-14 14:00:00,350.0,12509.05,92.54,5.0,3.3232,95.03,7.0,1.52,7.93,0.0856,88.73,7,1111.99,0.3219,4.73,259.39,Defect
907,1,2024-08-14 20:00:00,976.0,15194.3,85.06,3.0,4.9074,64.34,16.0,3.26,6.81,0.0335,90.34,5,1261.77,0.3608,7.82,103.57,Defect
908,2,2024-08-15 02:00:00,104.0,6143.59,96.07,2.0,2.5898,91.67,17.0,3.7,2.89,0.0296,96.16,4,3102.98,0.3023,5.24,174.63,Defect
909,3,2024-08-15 08:00:00,218.0,9120.56,96.36,0.0,4.1787,66.83,17.0,3.94,8.32,0.0033,93.11,6,1518.48,0.2027,3.1,463.72,Defect
910,4,2024-08-15 14:00:00,900.0,17104.48,99.58,2.0,2.785,61.47,11.0,4.97,2.64,0.0952,83.71,2,2844.14,0.4428,3.17,459.5,Defect
911,5,2024-08-15 20:00:00,473.0,11894.97,90.04,1.0,2.7313,67.42,0.0,4.02,2.16,0.0501,94.69,8,4818.52,0.363,4.58,281.34,Defect
912,6,2024-08-16 02:00:00,164.0,13198.66,89.1,4.0,4.6869,90.6,22.0,3.29,8.16,0.0503,91.84,3,2179.03,0.4433,2.0,221.65,Defect
913,1,2024-08-16 08:00:00,245.0,11492.24,95.07,0.0,4.5048,76.21,11.0,4.48,6.39,0.0923,91.57,3,2955.65,0.2104,2.6,221.1,Defect
914,2,2024-08-16 14:00:00,323.0,5658.5,82.65,0.0,4.0361,94.9,10.0,4.53,7.59,0.029,93.57,7,2537.04,0.3548,5.51,458.88,Defect
915,3,2024-08-16 20:00:00,338.0,7486.25,90.94,4.0,1.8332,80.99,12.0,4.87,5.06,0.0332,91.28,5,3519.31,0.3857,9.59,229.89,Defect
916,4,2024-08-17 02:00:00,276.0,11683.12,90.92,0.0,2.9525,60.89,2.0,3.88,2.09,0.0656,89.15,0,1775.38,0.2534,6.2,304.63,Defect
917,5,2024-08-17 08:00:00,878.0,8137.78,81.79,4.0,1.5075,88.67,7.0,0.97,4.65,0.0785,92.81,1,2039.76,0.4249,4.68,392.4,Defect
918,6,2024-08-17 14:00:00,952.0,5749.69,88.36,0.0,2.4976,64.41,2.0,3.55,6.87,0.0699,94.47,8,4435.07,0.101,3.18,183.79,Defect
919,1,2024-08-17 20:00:00,381.0,17654.74,97.07,5.0,2.679,91.58,16.0,0.38,3.81,0.0789,84.52,5,4245.34,0.338,2.76,201.54,Defect
920,2,2024-08-18 02:00:00,162.0,19717.89,97.12,5.0,4.2424,66.72,12.0,1.59,7.5,0.0575,89.94,6,4156.76,0.3454,6.93,243.22,Defect
921,3,2024-08-18 08:00:00,316.0,16897.14,81.98,2.0,4.5321,73.82,9.0,0.58,8.36,0.0863,89.16,8,4083.68,0.3135,8.63,361.69,Defect
922,4,2024-08-18 14:00:00,953.0,17806.77,81.81,0.0,2.3658,90.45,16.0,4.75,5.63,0.055,80.8,2,2837.75,0.352,4.59,427.0,Defect
923,5,2024-08-18 20:00:00,926.0,8629.66,85.25,3.0,0.5797,98.17,2.0,1.69,9.01,0.0229,96.69,4,3915.56,0.1669,5.96,318.68,Defect
924,6,2024-08-19 02:00:00,894.0,19409.4,97.5,4.0,4.378,74.86,12.0,3.57,8.84,0.0542,87.55,4,2548.82,0.3739,7.36,153.17,Defect
925,1,2024-08-19 08:00:00,788.0,7953.89,82.58,0.0,1.2843,93.18,21.0,2.86,9.02,0.0713,81.45,9,1402.84,0.2343,1.52,278.5,Defect
926,2,2024-08-19 14:00:00,560.0,19271.45,94.4,5.0,3.2985,67.63,5.0,0.54,7.29,0.0654,89.16,6,2573.5,0.2808,4.16,151.08,Defect
927,3,2024-08-19 20:00:00,709.0,19922.29,82.02,5.0,0.6124,92.29,13.0,2.81,4.44,0.0243,83.23,1,1634.65,0.2332,7.57,135.32,Defect
928,4,2024-08-20 02:00:00,204.0,15675.84,92.46,4.0,2.2978,86.3,9.0,3.31,5.85,0.0041,94.09,3,2563.41,0.2896,7.16,335.85,No Defect
929,5,2024-08-20 08:00:00,198.0,19717.16,87.12,3.0,4.9368,67.71,19.0,4.41,7.68,0.0252,91.44,3,2189.7,0.3486,1.48,482.48,Defect
930,6,2024-08-20 14:00:00,610.0,13543.1,95.78,0.0,0.9531,72.1,15.0,0.35,3.68,0.0984,85.4,7,3396.64,0.4353,3.14,435.04,Defect
931,1,2024-08-20 20:00:00,484.0,8893.13,84.67,0.0,2.4066,65.27,17.0,1.48,7.91,0.0184,99.01,9,2446.16,0.2934,7.12,409.79,Defect
932,2,2024-08-21 02:00:00,504.0,11554.94,92.78,3.0,1.8822,75.32,12.0,3.46,6.38,0.0464,85.83,2,3822.36,0.2293,3.44,390.82,Defect
933,3,2024-08-21 08:00:00,922.0,13903.41,84.71,3.0,4.5729,68.15,9.0,0.17,2.77,0.0638,91.1,1,3048.59,0.2952,8.33,458.85,Defect
934,4,2024-08-21 14:00:00,617.0,6096.22,94.27,3.0,4.412,85.76,5.0,1.02,6.46,0.0879,96.03,8,4677.97,0.3755,1.27,401.13,Defect
935,5,2024-08-21 20:00:00,575.0,14335.15,97.47,5.0,1.5696,99.78,9.0,1.09,2.53,0.076,90.28,3,1364.1,0.2387,2.71,350.75,No Defect
936,6,2024-08-22 02:00:00,808.0,19717.67,82.54,4.0,0.8653,60.48,4.0,3.35,2.11,0.0909,99.22,8,3750.84,0.2657,3.53,245.87,Defect
937,1,2024-08-22 08:00:00,962.0,7851.61,97.33,3.0,3.3221,81.64,5.0,1.43,9.12,0.0604,96.88,5,3689.59,0.3251,9.33,140.38,Defect
938,2,2024-08-22 14:00:00,744.0,16888.93,91.87,4.0,2.0137,82.95,6.0,3.0,5.92,0.0865,98.42,0,4802.51,0.2176,8.17,284.41,No Defect
939,3,2024-08-22 20:00:00,969.0,18618.48,82.54,2.0,3.5244,96.57,10.0,4.83,6.35,0.0264,87.45,2,2486.21,0.1836,8.96,469.91,Defect
940,4,2024-08-23 02:00:00,870.0,19155.52,88.55,0.0,0.6445,80.24,15.0,3.97,4.24,0.0431,90.97,6,2221.75,0.1562,4.96,333.24,Defect
941,5,2024-08-23 08:00:00,536.0,19402.03,83.22,0.0,1.1003,81.75,11.0,1.66,6.34,0.0844,96.8,8,1689.57,0.241,8.4,173.8,Defect
942,6,2024-08-23 14:00:00,122.0,12821.89,94.01,1.0,3.5887,78.87,11.0,2.36,3.35,0.0326,98.07,7,2061.15,0.1193,8.68,359.61,Defect
943,1,2024-08-23 20:00:00,664.0,19659.62,95.18,2.0,1.4557,70.76,22.0,1.0,7.97,0.0871,98.89,4,3007.56,0.3334,4.6,286.18,Defect
944,2,2024-08-24 02:00:00,776.0,16359.65,82.12,3.0,4.3591,62.24,19.0,0.08,8.59,0.0363,97.58,7,4350.85,0.1704,9.95,472.55,Defect
945,3,2024-08-24 08:00:00,813.0,7425.07,90.12,3.0,0.7637,76.35,4.0,1.45,8.85,0.0363,94.62,1,2137.15,0.251,8.66,164.38,Defect
946,4,2024-08-24 14:00:00,557.0,12153.5,96.29,5.0,1.4697,62.1,15.0,1.85,2.85,0.0309,80.48,2,1630.97,0.2077,9.77,384.8,Defect
947,5,2024-08-24 20:00:00,182.0,15774.97,98.72,2.0,4.9935,82.02,5.0,2.82,6.46,0.0547,86.3,7,2088.51,0.3522,8.8,372.64,Defect
948,6,2024-08-25 02:00:00,244.0,8710.1,90.27,3.0,2.4488,72.29,8.0,4.72,8.47,0.0129,82.58,8,1403.71,0.4401,7.99,493.42,Defect
949,1,2024-08-25 08:00:00,184.0,14609.23,99.01,1.0,3.6633,81.34,4.0,4.74,3.03,0.0037,83.1,9,4706.78,0.3533,9.49,325.96,Defect
950,2,2024-08-25 14:00:00,177.0,14999.01,90.71,4.0,1.322,65.37,20.0,0.35,2.8,0.0897,85.82,7,4490.5,0.317,4.78,448.63,Defect
951,3,2024-08-25 20:00:00,556.0,7440.5,87.88,0.0,3.2444,97.31,22.0,3.07,8.54,0.0929,81.49,3,2233.97,0.3676,8.05,109.89,Defect
952,4,2024-08-26 02:00:00,977.0,13476.28,96.96,2.0,3.7675,95.78,15.0,0.21,8.37,0.0076,84.86,5,1987.95,0.112,2.92,149.16,Defect
953,5,2024-08-26 08:00:00,100.0,16574.4,89.86,0.0,1.9151,67.6,17.0,3.24,5.59,0.055,99.14,4,4621.59,0.1491,7.6,238.38,Defect
954,6,2024-08-26 14:00:00,150.0,12483.43,89.44,4.0,4.23,73.74,18.0,0.59,2.88,0.054,86.24,3,1007.09,0.138,8.07,347.73,Defect
955,1,2024-08-26 20:00:00,784.0,5181.55,89.81,2.0,3.2154,84.54,11.0,4.73,6.13,0.0372,83.19,8,3402.31,0.1393,7.45,279.63,Defect
956,2,2024-08-27 02:00:00,816.0,5135.58,96.94,4.0,2.2511,63.83,1.0,4.32,5.16,0.0569,94.37,9,4664.02,0.2042,8.65,181.08,Defect
957,3,2024-08-27 08:00:00,871.0,10355.44,96.64,3.0,3.0094,74.18,9.0,0.11,6.15,0.0458,96.57,2,3034.23,0.3128,4.72,335.68,Defect
958,4,2024-08-27 14:00:00,545.0,18892.91,88.07,3.0,3.0954,70.04,11.0,3.91,5.52,0.049,86.28,0,1011.87,0.1459,5.9,326.68,Defect
959,5,2024-08-27 20:00:00,548.0,8430.15,86.67,3.0,1.2449,96.62,13.0,3.18,6.55,0.0755,85.57,6,1875.49,0.474,1.1,309.78,Defect
960,6,2024-08-28 02:00:00,980.0,14515.46,89.84,4.0,2.3123,94.1,17.0,2.48,7.82,0.0526,84.84,9,4689.77,0.4417,2.31,136.22,Defect
961,1,2024-08-28 08:00:00,587.0,8331.14,91.46,4.0,2.0454,83.19,18.0,3.01,8.2,0.0324,87.87,7,1068.09,0.4887,6.8,470.81,Defect
962,2,2024-08-28 14:00:00,899.0,9825.05,84.77,4.0,2.3041,80.81,5.0,3.39,7.19,0.0581,81.74,2,2579.12,0.117,6.06,336.9,Defect
963,3,2024-08-28 20:00:00,133.0,17720.63,95.88,0.0,3.925,97.23,4.0,4.42,3.59,0.0641,93.38,2,4158.98,0.4406,2.78,205.6,Defect
964,4,2024-08-29 02:00:00,447.0,15932.92,89.73,4.0,2.6714,97.3,15.0,3.84,5.18,0.0662,96.44,5,4352.36,0.4215,3.19,374.97,Defect
965,5,2024-08-29 08:00:00,194.0,6430.99,86.68,3.0,4.7314,98.77,13.0,2.88,2.57,0.0618,93.27,1,2910.43,0.4608,4.1,227.16,Defect
966,6,2024-08-29 14:00:00,171.0,11430.53,82.14,1.0,1.8215,65.02,12.0,4.12,5.61,0.0665,88.42,5,1929.94,0.3112,7.45,302.34,Defect
967,1,2024-08-29 20:00:00,650.0,5437.55,84.78,4.0,2.3707,66.42,20.0,4.93,9.76,0.031,85.78,4,3398.82,0.4152,6.49,236.45,Defect
968,2,2024-08-30 02:00:00,253.0,12213.35,98.99,1.0,4.0413,87.07,1.0,1.5,7.13,0.0446,88.19,6,2055.11,0.1205,1.63,452.16,Defect
969,3,2024-08-30 08:00:00,349.0,14936.51,86.1,3.0,2.9571,81.66,1.0,0.59,3.24,0.0669,88.48,8,2021.06,0.1304,7.84,497.59,No Defect
970,4,2024-08-30 14:00:00,773.0,6777.54,83.38,4.0,2.9616,60.74,11.0,3.66,4.15,0.0754,93.32,8,4230.4,0.1474,3.36,164.47,Defect
971,5,2024-08-30 20:00:00,537.0,9333.27,89.21,0.0,0.74,62.48,0.0,4.89,2.52,0.0434,98.56,0,1617.06,0.4659,7.05,109.43,Defect
972,6,2024-08-31 02:00:00,217.0,10967.55,86.14,0.0,2.2937,95.52,18.0,0.58,3.46,0.0365,81.41,6,1022.09,0.1245,2.11,187.73,Defect
973,1,2024-08-31 08:00:00,870.0,18792.97,80.7,1.0,1.7183,94.75,15.0,2.16,5.9,0.0716,99.07,2,2347.1,0.1401,9.98,335.98,Defect
974,2,2024-08-31 14:00:00,990.0,19898.83,86.46,5.0,4.997,74.29,6.0,0.31,4.76,0.0222,98.2,3,2963.9,0.4722,1.72,169.58,Defect
975,3,2024-08-31 20:00:00,405.0,5673.67,90.88,0.0,1.8876,95.64,20.0,3.88,3.63,0.0009,82.35,1,3820.32,0.143,7.68,424.59,Defect
976,4,2024-09-01 02:00:00,367.0,16415.12,91.03,0.0,4.4802,83.75,6.0,4.74,3.17,0.0471,83.67,0,4124.46,0.4479,5.87,263.47,Defect
977,5,2024-09-01 08:00:00,153.0,10575.86,87.13,0.0,3.5431,92.24,15.0,2.49,7.25,0.0173,86.23,9,3654.08,0.4157,1.77,344.21,Defect
978,6,2024-09-01 14:00:00,335.0,10886.87,88.95,3.0,2.0341,77.1,5.0,2.05,6.46,0.0378,91.19,2,3506.04,0.1161,1.24,282.25,No Defect
979,1,2024-09-01 20:00:00,488.0,16313.97,99.31,0.0,2.9459,64.54,17.0,4.54,8.74,0.0291,82.69,9,3662.99,0.1087,4.26,461.33,Defect
980,2,2024-09-02 02:00:00,833.0,18776.4,87.55,2.0,4.2824,77.35,0.0,0.67,3.47,0.0777,84.01,8,2086.11,0.3138,8.22,114.05,Defect
981,3,2024-09-02 08:00:00,862.0,19263.93,85.16,4.0,4.4752,78.29,0.0,4.46,8.78,0.0331,98.05,0,2529.45,0.4989,1.37,391.72,Defect
982,4,2024-09-02 14:00:00,924.0,13656.84,84.87,0.0,1.2218,82.04,13.0,1.96,6.62,0.0641,82.19,2,3465.75,0.4515,7.34,360.87,Defect
983,5,2024-09-02 20:00:00,500.0,10356.82,89.16,5.0,2.0281,64.22,5.0,2.8,4.13,0.0674,87.98,4,1262.28,0.224,6.9,359.81,Defect
984,6,2024-09-03 02:00:00,723.0,16813.24,95.19,5.0,2.0085,99.66,5.0,2.64,4.19,0.0456,95.26,2,2181.3,0.2545,3.39,265.6,No Defect
985,1,2024-09-03 08:00:00,866.0,8765.02,84.12,0.0,0.6892,69.77,3.0,3.08,5.12,0.0081,97.77,3,2625.68,0.2552,1.7,106.27,Defect
986,2,2024-09-03 14:00:00,402.0,13461.11,94.19,0.0,3.1921,67.94,11.0,4.71,5.68,0.07,86.72,3,3133.76,0.3937,9.24,375.7,Defect
987,3,2024-09-03 20:00:00,306.0,10378.68,80.42,2.0,4.3467,81.07,17.0,4.76,2.66,0.0075,83.29,0,2945.93,0.2365,3.7,431.79,Defect
988,4,2024-09-04 02:00:00,328.0,14849.47,88.38,0.0,2.2171,81.49,9.0,4.16,8.74,0.0099,94.74,5,3872.53,0.1591,2.0,134.09,No Defect
989,5,2024-09-04 08:00:00,952.0,8605.98,95.52,0.0,3.8302,77.59,2.0,0.96,2.97,0.0196,95.45,6,2893.71,0.3988,7.13,276.65,Defect
990,6,2024-09-04 14:00:00,677.0,7873.89,86.77,4.0,3.3247,90.88,2.0,1.67,5.87,0.028,99.6,6,4616.52,0.2832,2.95,165.04,Defect
991,1,2024-09-04 20:00:00,174.0,18773.59,91.27,5.0,2.1904,80.67,7.0,2.44,5.06,0.0846,82.79,5,2521.27,0.1307,5.28,344.38,No Defect
992,2,2024-09-05 02:00:00,534.0,6527.06,84.1,2.0,1.1348,84.39,21.0,4.53,6.1,0.0675,94.19,6,3101.49,0.416,1.45,414.24,Defect
993,3,2024-09-05 08:00:00,202.0,12589.37,94.84,5.0,3.692,88.95,22.0,2.6,9.1,0.0387,88.35,2,1012.84,0.3341,9.94,366.68,Defect
994,4,2024-09-05 14:00:00,521.0,8312.79,81.05,2.0,4.3455,61.0,0.0,4.89,9.91,0.0979,98.29,4,2241.91,0.2957,5.03,227.22,Defect
995,5,2024-09-05 20:00:00,803.0,5583.95,97.05,5.0,3.5863,82.83,17.0,4.92,2.16,0.0244,88.16,6,4466.29,0.3693,9.99,155.89,Defect
996,6,2024-09-06 02:00:00,863.0,5540.28,83.96,0.0,0.5805,95.37,14.0,2.99,5.15,0.061,88.92,9,2334.31,0.3021,4.47,417.71,Defect
997,1,2024-09-06 08:00:00,837.0,7628.33,97.49,5.0,1.473,60.7,20.0,4.39,8.54,0.0847,82.54,4,2012.75,0.3594,4.13,229.57,Defect
998,2,2024-09-06 14:00:00,905.0,18001.56,87.05,5.0,0.8127,76.21,19.0,5.0,4.61,0.0802,86.42,9,3174.15,0.447,9.23,108.86,Defect
999,3,2024-09-06 20:00:00,405.0,9237.18,94.45,2.0,3.0667,97.05,16.0,4.25,7.19,0.009,88.02,1,1314.92,0.3454,3.97,328.57,Defect
1000,4,2024-09-07 02:00:00,197.0,19256.89,86.38,1.0,3.9041,74.13,10.0,3.28,9.94,0.0697,80.35,5,3126.42,0.3638,4.89,198.67,Defect
1001,5,2024-09-07 08:00:00,949.0,13724.33,98.12,2.0,0.9976,78.35,12.0,4.23,7.17,0.0258,88.75,6,2214.66,0.3455,1.7,436.48,Defect
1002,6,2024-09-07 14:00:00,897.0,11549.21,82.53,2.0,4.2725,99.26,19.0,0.41,2.89,0.0356,86.73,1,2532.41,0.3125,9.6,157.3,Defect
1003,1,2024-09-07 20:00:00,434.0,13701.33,83.57,2.0,2.9998,67.97,9.0,3.17,8.74,0.0489,96.08,9,4165.46,0.1688,1.77,273.92,Defect
1004,2,2024-09-08 02:00:00,958.0,12750.48,89.86,3.0,3.6049,62.61,12.0,1.08,9.73,0.0791,82.14,7,3647.86,0.2343,7.94,201.25,Defect
1005,3,2024-09-08 08:00:00,534.0,16381.64,81.64,3.0,4.8713,94.38,16.0,0.58,7.7,0.0166,95.2,4,2784.42,0.3772,5.85,375.84,Defect
1006,4,2024-09-08 14:00:00,546.0,9237.44,83.92,3.0,0.8766,94.74,20.0,4.46,5.35,0.0109,94.28,7,3310.07,0.2702,1.55,319.41,Defect
1007,5,2024-09-08 20:00:00,407.0,10295.76,98.88,2.0,4.5555,78.88,0.0,3.2,9.59,0.0153,84.84,2,4067.44,0.2625,1.02,416.4,Defect
1008,6,2024-09-09 02:00:00,348.0,18411.41,99.53,1.0,1.0675,80.57,19.0,1.22,9.75,0.0218,81.67,1,3983.13,0.4037,9.42,283.45,Defect
1009,1,2024-09-09 08:00:00,265.0,19196.85,87.53,2.0,2.2683,93.43,15.0,1.93,9.48,0.006,96.84,6,1741.29,0.1022,7.68,101.92,Defect
1010,2,2024-09-09 14:00:00,580.0,18388.37,98.47,0.0,4.3315,89.54,15.0,4.87,5.29,0.0926,84.99,4,2203.68,0.3716,7.18,186.08,Defect
1011,3,2024-09-09 20:00:00,434.0,11291.72,90.9,1.0,4.5781,70.61,20.0,4.31,8.32,0.0319,82.91,4,2392.95,0.2957,4.95,499.66,Defect
1012,4,2024-09-10 02:00:00,641.0,16705.48,85.39,3.0,2.7787,60.68,2.0,0.08,7.23,0.0177,87.18,7,1750.17,0.2507,3.15,262.14,Defect
1013,5,2024-09-10 08:00:00,858.0,12145.04,94.05,5.0,3.1735,79.19,1.0,4.9,3.44,0.0638,88.02,8,1048.65,0.2362,7.12,348.09,Defect
1014,6,2024-09-10 14:00:00,205.0,12463.1,93.18,5.0,3.6867,94.36,5.0,1.84,6.28,0.0787,86.52,7,1695.87,0.1692,6.47,461.97,Defect
1015,1,2024-09-10 20:00:00,662.0,8070.2,99.78,4.0,4.2474,95.83,10.0,3.48,7.98,0.0753,99.53,9,4232.98,0.2337,7.54,108.21,Defect
1016,2,2024-09-11 02:00:00,180.0,13866.95,85.3,1.0,1.0468,98.25,2.0,3.56,9.17,0.0719,97.62,1,3183.68,0.2566,4.29,363.84,No Defect
1017,3,2024-09-11 08:00:00,232.0,7792.04,93.44,3.0,4.1453,95.18,0.0,4.56,8.9,0.0051,97.46,9,2366.63,0.275,9.88,215.35,Defect
1018,4,2024-09-11 14:00:00,896.0,9973.47,81.04,1.0,2.6657,83.2,10.0,4.43,3.24,0.0782,87.98,6,3433.38,0.3689,1.6,211.7,Defect
1019,5,2024-09-11 20:00:00,999.0,17825.45,82.27,1.0,2.5278,77.78,12.0,1.41,5.9,0.0502,99.26,4,3959.34,0.2814,1.72,189.94,Defect
1020,6,2024-09-12 02:00:00,237.0,8106.14,80.08,5.0,2.4075,90.99,4.0,3.22,5.83,0.0649,93.68,6,2417.71,0.4185,9.25,429.09,No Defect
1021,1,2024-09-12 08:00:00,283.0,6067.37,99.99,2.0,2.7915,89.59,17.0,1.97,9.19,0.0956,96.64,2,2864.3,0.3559,6.83,249.18,Defect
1022,2,2024-09-12 14:00:00,500.0,6035.11,96.05,0.0,4.7527,81.53,14.0,2.63,2.02,0.0811,90.02,3,1256.85,0.1758,3.94,126.85,Defect
1023,3,2024-09-12 20:00:00,429.0,19111.77,95.73,4.0,2.9669,63.49,17.0,2.77,7.91,0.0825,83.21,6,3388.36,0.2109,7.86,138.74,Defect
1024,4,2024-09-13 02:00:00,884.0,12603.81,90.19,3.0,4.7893,97.04,14.0,1.98,6.95,0.0181,97.74,1,2425.63,0.1317,5.07,159.45,Defect
1025,5,2024-09-13 08:00:00,607.0,11141.18,86.0,1.0,1.3113,78.22,19.0,2.32,9.37,0.0476,89.73,1,2734.09,0.4783,1.19,459.57,Defect
1026,6,2024-09-13 14:00:00,951.0,17163.18,83.03,4.0,3.7586,74.53,19.0,1.04,5.66,0.0949,99.37,0,2690.4,0.4546,6.86,270.98,Defect
1027,1,2024-09-13 20:00:00,168.0,17537.39,85.69,1.0,4.1551,85.18,19.0,3.04,7.26,0.0583,85.1,0,3529.64,0.1339,3.19,466.42,Defect
1028,2,2024-09-14 02:00:00,645.0,9982.87,87.52,5.0,3.5561,86.95,6.0,3.79,9.78,0.0103,99.85,0,3289.86,0.3296,2.04,426.99,Defect
1029,3,2024-09-14 08:00:00,873.0,15404.27,95.13,0.0,3.2312,68.43,16.0,2.15,7.95,0.0732,84.45,5,2688.42,0.4842,3.03,435.15,Defect
1030,4,2024-09-14 14:00:00,152.0,16566.84,90.79,5.0,3.0417,93.48,7.0,4.89,2.54,0.0043,87.36,4,1067.82,0.3989,5.29,214.73,Defect
1031,5,2024-09-14 20:00:00,549.0,14819.76,81.55,4.0,4.3742,71.6,12.0,0.29,3.34,0.0742,91.88,9,3483.85,0.2967,1.45,208.53,Defect
1032,6,2024-09-15 02:00:00,304.0,7273.93,80.36,3.0,4.1974,67.47,15.0,2.95,8.57,0.088,93.87,7,4518.31,0.1964,8.95,324.03,Defect
